"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.050,,,-2.16E-6
0.050,0.001,-2.642E-5,
0.050,,,-2.18E-6
0.051,0.002,-3.374E-5,
0.051,,,-2.20E-6
0.051,0.001,-6.670E-5,
0.051,,,-2.22E-6
0.052,0.002,6.543E-6,
0.052,,,-2.23E-6
0.052,0.002,-5.571E-5,
0.052,,,-2.27E-6
0.052,0.002,-8.135E-5,
0.053,,,-2.30E-6
0.053,0.002,-4.351E-5,
0.053,,,-2.32E-6
0.054,0.002,-5.205E-5,
0.054,,,-2.34E-6
0.054,0.002,-4.106E-5,
0.054,,,-2.37E-6
0.055,0.002,-5.083E-5,
0.055,,,-2.39E-6
0.055,0.001,-5.205E-5,
0.055,,,-2.42E-6
0.056,0.002,-6.914E-5,
0.056,,,-2.45E-6
0.056,0.002,-3.618E-5,
0.056,,,-2.47E-6
0.057,0.003,-5.449E-5,
0.057,,,-2.50E-6
0.057,0.002,-5.693E-5,
0.057,,,-2.52E-6
0.058,0.001,-2.153E-5,
0.058,,,-2.53E-6
0.058,0.002,-2.642E-5,
0.058,,,-2.54E-6
0.059,0.002,-2.153E-5,
0.059,,,-2.56E-6
0.059,0.001,-4.961E-5,
0.059,,,-2.58E-6
0.060,0.002,-4.229E-5,
0.060,,,-2.61E-6
0.060,0.002,-4.351E-5,
0.060,,,-2.63E-6
0.060,0.002,-7.036E-5,
0.061,,,-2.66E-6
0.061,0.002,-2.397E-5,
0.061,,,-2.68E-6
0.062,0.002,-7.891E-5,
0.062,,,-2.72E-6
0.062,0.002,-5.938E-5,
0.062,,,-2.74E-6
0.062,0.002,-3.740E-5,
0.063,,,-2.75E-6
0.063,0.002,-3.223E-6,
0.063,,,-2.76E-6
0.064,0.002,-4.473E-5,
0.064,,,-2.78E-6
0.064,0.001,-2.520E-5,
0.064,,,-2.80E-6
0.065,0.002,-3.740E-5,
0.065,,,-2.81E-6
0.065,0.002,-1.421E-5,
0.065,,,-2.83E-6
0.066,0.002,-4.717E-5,
0.066,,,-2.85E-6
0.066,9.790E-4,-4.229E-5,
0.066,,,-2.87E-6
0.067,0.002,-3.130E-5,
0.067,,,-2.88E-6
0.067,0.001,-1.543E-5,
0.067,,,-2.89E-6
0.068,0.002,-3.862E-5,
0.068,,,-2.91E-6
0.068,0.001,-4.473E-5,
0.068,,,-2.93E-6
0.069,0.002,-3.008E-5,
0.069,,,-2.95E-6
0.069,0.001,-3.618E-5,
0.069,,,-2.95E-6
0.070,0.001,3.096E-5,
0.070,,,-2.95E-6
0.070,0.002,-3.862E-5,
0.070,,,-2.97E-6
0.071,0.002,-2.764E-5,
0.071,,,-2.98E-6
0.071,7.349E-4,-3.740E-5,
0.071,,,-3.01E-6
0.072,0.001,-5.083E-5,
0.072,,,-3.03E-6
0.072,0.002,-4.717E-5,
0.072,,,-3.06E-6
0.072,0.002,-8.013E-5,
0.073,,,-3.09E-6
0.073,0.002,-4.595E-5,
0.073,,,-3.11E-6
0.073,0.002,-2.275E-5,
0.074,,,-3.13E-6
0.074,0.001,-3.496E-5,
0.074,,,-3.13E-6
0.075,0.003,1.660E-6,
0.075,,,-3.14E-6
0.075,0.002,-3.618E-5,
0.075,,,-3.16E-6
0.075,8.569E-4,-2.764E-5,
0.076,,,-3.17E-6
0.076,0.001,-3.618E-5,
0.076,,,-3.20E-6
0.077,0.002,-5.938E-5,
0.077,,,-3.22E-6
0.077,0.002,-4.473E-5,
0.077,,,-3.25E-6
0.077,0.003,-4.473E-5,
0.078,,,-3.27E-6
0.078,0.002,-6.426E-5,
0.078,,,-3.30E-6
0.079,0.002,-4.473E-5,
0.079,,,-3.32E-6
0.079,0.002,-4.473E-5,
0.079,,,-3.33E-6
0.080,0.002,7.764E-6,
0.080,,,-3.33E-6
0.080,0.002,-1.665E-5,
0.080,,,-3.35E-6
0.080,0.002,-2.886E-5,
0.081,,,-3.36E-6
0.081,0.002,-3.740E-5,
0.081,,,-3.39E-6
0.082,0.002,-6.060E-5,
0.082,,,-3.41E-6
0.082,4.907E-4,-4.351E-5,
0.082,,,-3.44E-6
0.083,0.002,-6.426E-5,
0.083,,,-3.47E-6
0.083,0.003,-6.060E-5,
0.083,,,-3.50E-6
0.084,0.002,-5.449E-5,
0.084,,,-3.53E-6
0.084,3.687E-4,-4.717E-5,
0.084,,,-3.54E-6
0.085,0.002,-5.664E-6,
0.085,,,-3.55E-6
0.085,0.002,-3.618E-5,
0.085,,,-3.58E-6
0.086,7.349E-4,-8.135E-5,
0.086,,,-3.61E-6
0.086,0.001,-6.060E-5,
0.086,,,-3.64E-6
0.087,0.002,-3.740E-5,
0.087,,,-3.66E-6
0.087,0.001,-3.496E-5,
0.087,,,-3.68E-6
0.088,0.002,-4.595E-5,
0.088,,,-3.69E-6
0.088,7.349E-4,-1.909E-5,
0.088,,,-3.71E-6
0.089,6.128E-4,-6.060E-5,
0.089,,,-3.74E-6
0.089,0.001,-5.693E-5,
0.089,,,-3.77E-6
0.090,0.002,-4.961E-5,
