"Time (s) Run #1","Voltage, Ch A (V) Run #1","Current, Ch D (A) Run #1","Charge (C) Run #1"
0.051,0.008,-1.045E-4,
0.051,,,-5.11E-6
0.051,0.009,-1.058E-4,
0.051,,,-5.16E-6
0.052,0.008,-9.600E-5,
0.052,,,-5.20E-6
0.052,0.008,-7.769E-5,
0.052,,,-5.25E-6
0.052,0.008,-1.045E-4,
0.053,,,-5.30E-6
0.053,0.008,-9.600E-5,
0.053,,,-5.35E-6
0.054,0.007,-1.033E-4,
0.054,,,-5.40E-6
0.054,0.008,-1.180E-4,
0.054,,,-5.46E-6
0.055,0.008,-1.204E-4,
0.055,,,-5.51E-6
0.055,0.009,-7.280E-5,
0.055,,,-5.56E-6
0.056,0.008,-1.216E-4,
0.056,,,-5.63E-6
0.056,0.008,-1.534E-4,
0.056,,,-5.69E-6
0.057,0.007,-1.180E-4,
0.057,,,-5.75E-6
0.057,0.007,-1.155E-4,
0.057,,,-5.80E-6
0.058,0.008,-7.646E-5,
0.058,,,-5.84E-6
0.058,0.008,-6.182E-5,
0.058,,,-5.87E-6
0.059,0.008,-9.600E-5,
0.059,,,-5.93E-6
0.059,0.009,-1.058E-4,
0.059,,,-5.98E-6
0.060,0.007,-1.229E-4,
0.060,,,-6.03E-6
0.060,0.008,-8.623E-5,
0.060,,,-6.08E-6
0.060,0.009,-1.131E-4,
0.061,,,-6.14E-6
0.061,0.009,-1.009E-4,
0.061,,,-6.17E-6
0.062,0.010,-3.008E-5,
0.062,,,-6.20E-6
0.062,0.008,-8.135E-5,
0.062,,,-6.25E-6
0.062,0.009,-1.326E-4,
0.063,,,-6.30E-6
0.063,0.009,-6.670E-5,
0.063,,,-6.34E-6
0.064,0.009,-9.355E-5,
0.064,,,-6.39E-6
0.064,0.009,-1.094E-4,
0.064,,,-6.44E-6
0.065,0.008,-8.867E-5,
0.065,,,-6.48E-6
0.065,0.009,-8.135E-5,
0.065,,,-6.53E-6
0.066,0.009,-1.009E-4,
0.066,,,-6.58E-6
0.066,0.009,-9.600E-5,
0.066,,,-6.63E-6
0.067,0.008,-1.253E-4,
0.067,,,-6.68E-6
0.067,0.008,-7.524E-5,
0.067,,,-6.72E-6
0.068,0.009,-8.501E-5,
0.068,,,-6.76E-6
0.068,0.008,-5.327E-5,
0.068,,,-6.79E-6
0.069,0.009,-7.402E-5,
0.069,,,-6.84E-6
0.069,0.008,-1.143E-4,
0.069,,,-6.90E-6
0.070,0.008,-1.351E-4,
0.070,,,-6.96E-6
0.070,0.009,-8.379E-5,
0.070,,,-7.00E-6
0.071,0.008,-8.623E-5,
0.071,,,-7.04E-6
0.071,0.008,-8.379E-5,
0.071,,,-7.08E-6
0.072,0.008,-7.036E-5,
0.072,,,-7.12E-6
0.072,0.009,-1.119E-4,
0.072,,,-7.17E-6
0.072,0.008,-6.304E-5,
0.073,,,-7.20E-6
0.073,0.010,-7.524E-5,
0.073,,,-7.25E-6
0.073,0.008,-1.290E-4,
0.074,,,-7.31E-6
0.074,0.008,-1.155E-4,
0.074,,,-7.37E-6
0.075,0.008,-1.045E-4,
0.075,,,-7.43E-6
0.075,0.008,-1.229E-4,
0.075,,,-7.48E-6
0.075,0.009,-9.844E-5,
0.076,,,-7.54E-6
0.076,0.008,-1.229E-4,
0.076,,,-7.59E-6
0.077,0.008,-9.966E-5,
0.077,,,-7.64E-6
0.077,0.007,-1.033E-4,
0.077,,,-7.70E-6
0.077,0.008,-1.106E-4,
0.078,,,-7.75E-6
0.078,0.008,-1.082E-4,
0.078,,,-7.81E-6
0.079,0.009,-1.363E-4,
0.079,,,-7.87E-6
0.079,0.009,-9.111E-5,
0.079,,,-7.92E-6
0.080,0.008,-9.111E-5,
0.080,,,-7.95E-6
0.080,0.009,-6.182E-5,
